v1,v2,,,
spam,88800 and 89034 are premium phone services call 08718711108,,,
not spam,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",,,
not spam,Then mum's repent how?,,,
not spam,Sorry me going home first... Daddy come fetch ï¿½_ later.,,,
not spam,Leave it de:-). Start Prepare for next:-)..,,,
not spam,Yes baby! We can study all the positions of the kama sutra ;),,,
not spam,En chikku nange bakra msg kalstiya..then had tea/coffee?,,,
not spam,Carlos'll be here in a minute if you still need to buy,,,
not spam,This pay is  &lt;DECIMAL&gt;  lakhs:),,,
not spam,Have a good evening! Ttyl,,,
not spam,Did u receive my msg?,,,
not spam,Ho ho - big belly laugh! See ya tomo,,,
spam,SMS. ac sun0819 posts HELLO:\You seem cool," wanted to say hi. HI!!!\"" Stop? Send STOP to 62468""",,
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just ï¿½ï¿½1.50 per wk 2 opt out send STOP 0845281007,,,
not spam,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",,,
not spam,"I've got  &lt;#&gt; , any way I could pick up?",,,
not spam,"I dont knw pa, i just drink milk..",,,
not spam,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,,,
not spam,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",,,
not spam,Cause I'm not freaky lol,,,
not spam,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,,,
not spam,What is this 'hex' place you talk of? Explain!,,,
not spam,ýý log off 4 wat. It's sdryb8i,,,
not spam,Is xy going 4 e lunch?,,,
spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,,,
not spam,I wanted to ask ï¿½_ to wait 4 me to finish lect. Cos my lect finishes in an hour anywa,,,
not spam,Have you finished work yet? :),,,
not spam,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",,,
not spam,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",,,
not spam,Thanks love. But am i doing torch or bold.,,,
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,,,
not spam,Was the farm open?,,,
not spam,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",,,
not spam,"My sister in law, hope you are having a great month. Just saying hey. Abiola",,,
not spam,Will purchase d stuff today and mail to you. Do you have a po box number?,,,
not spam,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,,,
not spam,Good. Good job. I like entrepreneurs,,,
not spam,"Aight, you close by or still down around alex's place?",,,
not spam,meet you in corporation st outside gap ï¿½ï¿½_ you can see how my mind is work,,,
not spam,Mum ask ï¿½_ to buy food home.,,,
not spam,K..u also dont msg or reply to his msg..,,,
not spam,How much r ï¿½_ willing to pa,,,
not spam,"Sorry, I'll call later",,,
not spam,What is important is that you prevent dehydration by giving her enough fluids,,,
not spam,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",,,
not spam,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,,,
not spam,"I don't think I can get away for a trek that long with family in town, sorry",,,
not spam,So when do you wanna gym harri,,,
not spam,Quite late lar... Ard 12 anyway i wun b drivin...,,,
spam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",,,
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,,,
not spam,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,"this wont even start........ Datz confidence..""",,
not spam,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,,,
spam,08714712388 between 10am-7pm Cost 10p,,,
not spam,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",,,
not spam,He also knows about lunch menu only da. . I know,,,
not spam,When i have stuff to sell i.ll tell you,,,
spam,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON ï¿½ï¿½1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxï¿½,,,
not spam,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,,,
spam,You have WON a guaranteed ï¿½ï¿½1000 cash or a ï¿½ï¿½2000 prize. To claim yr prize call our customer service representative on 08714712394 between ,,,
not spam,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,,,
not spam,Oh is it? Send me the address,,,
not spam,S'fine. Anytime. All the best with it.,,,
not spam,That is wondar full flim.,,,
not spam,Ya even those cookies have jelly on them,,,
not spam,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",,,
not spam,Got it! It looks scrumptious... daddy wants to eat you all night long!,,,
not spam,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,,,
not spam,"Alright omw, gotta change my order to a half8th",,,
not spam,Exactly. Anyways how far. Is jide her to study or just visiting,,,
not spam,Dunno y u ask me.,,,
spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,,,
not spam,No he didn't. Spring is coming early yay!,,,
not spam,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,,,
not spam,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,,,
not spam,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,,,
not spam,Then why no one talking to me,,,
not spam,Thanks for looking out for me. I really appreciate.,,,
spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY ï¿½ï¿½10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/M,,,
not spam,Wish i were with you now!,,,
not spam,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,,,
not spam,Yes i will be there. Glad you made it.,,,
not spam,Do well :)all will for little time. Thing of good times ahead:,,,
not spam,Just got up. have to be out of the room very soon. ï¿½ï¿½_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in ,,,
not spam,Ok. There may be a free gym about.,,,
not spam,Men like shorter ladies. Gaze up into his eyes.,,,
not spam,Dunno he jus say go lido. Same time 930.,,,
not spam,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",,,
spam,U are subscribed to the best Mobile Content Service in the UK for ï¿½ï¿½3 per 10 days until you send STOP to 82324. Helpline 0870609,,,
not spam,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,,,
not spam,By monday next week. Give me the full gist,,,
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",,,
spam,You have an important customer service announcement from PREMIER.,,,
not spam,Dont gimme that lip caveboy,,,
not spam,When did you get to the library,,,
not spam,Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,,,
not spam,So why didnt you holla?,,,
not spam,Cant think of anyone with * spare room off * top of my head,,,
not spam,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",,,
not spam,U should have made an appointment,,,
not spam,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",,,
spam,"Romantic Paris. 2 nights, 2 flights from ï¿½ï¿½79 Book now 4 next year. Call 08704439680Ts&Cs ap",,,
not spam,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",,,
spam,Urgent Ur ï¿½ï¿½500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 ï¿½ï¿½1.50pmmorefrommobile2Bremoved-MobyPOBox7,,,
not spam,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,,,
not spam,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",,,
spam,UR awarded a City Break and could WIN a ï¿½ï¿½200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ï¿½ï¿½1.50,,,
not spam,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",,,
not spam,"Sorry, I'll call later",,,
not spam,I cant pick the phone right now. Pls send a message,,,
not spam,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,,,
not spam,Not getting anywhere with this damn job hunting over here!,,,
not spam,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,,,
not spam,"idc get over here, you are not weaseling your way out of this shit twice in a row",,,
not spam,I wil be there with in  &lt;#&gt;  minutes. Got any space,,,
not spam,Just sleeping..and surfing,,,
not spam,Thanks for picking up the trash.,,,
not spam,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,,,
not spam,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""",,,
not spam,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,,,
not spam,That means get the door,,,
not spam,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,,,
not spam,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",,,
not spam,Beerage?,,,
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,,,
not spam,Dont think so. It turns off like randomlly within 5min of opening,,,
not spam,"She was supposed to be but couldn't make it, she's still in town though",,,
not spam,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,,,
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),,,
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, ï¿½ï¿½3 per pole. UnSub 08718727",,,
not spam,Gud mrng dear hav a nice day,,,
not spam,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,,,
not spam,All e best 4 ur driving tmr :-),,,
not spam,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATï¿½ï¿½S AL!!!!!,,,
not spam,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,,,
not spam,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,,,
not spam,it's really getting me down just hanging around.,,,
spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",,,
not spam,"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\""""",,,
not spam,Ok i msg u b4 i leave my house.,,,
not spam,"\Gimme a few\"" was  &lt;#&gt;  minutes ago""",,,
spam,"Last Chance! Claim ur ï¿½ï¿½150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. ï¿½ï¿½3.00",,,
not spam,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,,,
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,,,
spam,You have won a guaranteed ï¿½ï¿½200 award or even ï¿½ï¿½1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. ,,,
not spam,K I'll be there before 4.,,,
not spam,I dled 3d its very imp,,,
not spam,"sure, but make sure he knows we ain't smokin yet",,,
not spam,Boooo you always work. Just quit.,,,
not spam,I am taking half day leave bec i am not well,,,
not spam,Ugh I don't wanna get out of bed. It's so warm.,,,
not spam,S:)s.nervous  &lt;#&gt; :),,,
not spam,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,,,
spam,Congratulations ur awarded either ï¿½ï¿½500 of CD gift vouchers & Free entry 2 our ï¿½ï¿½100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150pp,,,
not spam,I borrow ur bag ok.,,,
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",,,
not spam,Where's my boytoy? I miss you ... What happened?,,,
not spam,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",,,
not spam,Also are you bringing galileo or dobby,,,
not spam,Then why you not responding,,,
not spam,"\BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & Iï¿½ï¿½LLSPEAK 2U SOONLOTS OF LOVEME XX""""",,,
not spam,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,,,
not spam,On the road so cant txt,,,
spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",,,
spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,,,
not spam,Have a good evening! Ttyl,,,
not spam,Hmm .. Bits and pieces lol ... *sighs* ...,,,
not spam,Hahaha..use your brain dear,,,
not spam,Hey. You got any mail?,,,
not spam,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",,,
not spam,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,,,
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,,,
not spam,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenï¿½ï¿½t sent u 1 in ages started driving so stay off roads,,,
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",,,
not spam,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",,,
not spam,Surely result will offer:),,,
not spam,Good Morning my Dear........... Have a great &amp; successful day.,,,
spam,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,,,
not spam,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",,,
spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,,,
spam,Last chance 2 claim ur ï¿½ï¿½150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. ï¿½ï¿½3.00 Sub. 16 . Remove txt X,,,
not spam,I luv u soo much u donï¿½ï¿½t understand how special u r 2 me ring u 2morrow luv u,,,
not spam,"Pls send me a comprehensive mail about who i'm paying, when and how much.",,,
not spam,Our Prashanthettan's mother passed away last night. pray for her and family.,,,
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",,,
not spam,K.k:)when are you going?,,,
not spam,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,,,
not spam,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,,,
not spam,I am in office:)whats the matter..msg me now.i will call you at break:).,,,
not spam,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",,,
spam,"Today's Offer! Claim ur ï¿½ï¿½150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. ï¿½ï¿½3.00 Sub. 16 . Unsub",,,
not spam,U reach orchard already? U wan 2 go buy tickets first?,,,
not spam,"I am real, baby! I want to bring out your inner tigress...",,,
not spam,No da if you run that it activate the full version da.,,,
not spam,"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\""""",,,
not spam,Stop the story. I've told him i've returned it and he's saying i should not re order it.,,,
spam,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,,,
not spam,Going to take your babe out ?,,,
not spam,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,,,
not spam,Spoons it is then okay?,,,
not spam,Did he just say somebody is named tampa,,,
not spam,In work now. Going have in few min.,,,
not spam,Your brother is a genius,,,
not spam,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",,,
not spam,Did u find out what time the bus is at coz i need to sort some stuff out.,,,
not spam,Dude ive been seeing a lotta corvettes lately,,,
spam,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net ï¿½ï¿½1.50pm approx 3,,,
not spam,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",,,
spam,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,,,
spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,,,
spam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,,,
not spam,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",,,
not spam,Its going good...no problem..but still need little experience to understand american customer voice...,,,
not spam,I'll text you when I drop x off,,,
not spam,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap,,,
not spam,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,,,
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, ï¿½ï¿½500 Cash or ï¿½ï¿½100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mob",,,
not spam,Are you in castor? You need to see something,,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. ï¿½ï¿½1.50 SP:Ty,,,
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,,,
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,,,
spam,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,,,
not spam,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",,,
not spam,I love to give massages. I use lots of baby oil... What is your fave position?,,,
not spam,Dude we should go sup again,,,
not spam,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,,,
not spam,Gibbs unsold.mike hussey,,,
not spam,I like to talk pa but am not able to. I dont know y.,,,
not spam,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,,,
not spam,You unbelievable faglord,,,
not spam,Wife.how she knew the time of murder exactly,,,
not spam,Why do you ask princess?,,,
not spam,I am great princess! What are you thinking about me? :),,,
not spam,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,,,
not spam,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,,,
not spam,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;,,,
not spam,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)""",,,
not spam,Hope you are having a good week. Just checking in,,,
not spam,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",,,
not spam,"Thursday night? Yeah, sure thing, we'll work it out then",,,
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",
not spam,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,,,
not spam,How is it possible to teach you. And where.,,,
not spam,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",,,
not spam,Lovely smell on this bus and it ain't tobacco... ,,,
not spam,"We're all getting worried over here, derek and taylor have already assumed the worst",,,
not spam,Hey what's up charles sorry about the late reply.,,,
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",,,
not spam,I.ll give her once i have it. Plus she said grinule greet you whenever we speak,,,
not spam,WHITE FUDGE OREOS ARE IN STORES,,,
spam,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",,,
not spam,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,,,
not spam,I am sorry it hurt you.,,,
not spam,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,,,
not spam,Ok lor but not too early. Me still having project meeting now.,,,
not spam,"Call me da, i am waiting for your call.",,,
not spam,I could ask carlos if we could get more if anybody else can chip in,,,
not spam,Was actually about to send you a reminder today. Have a wonderful weekend,,,
not spam,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",,,
not spam,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,,,
not spam,Dont talk to him ever ok its my word.,,,
not spam,When u wana see it then,,,
not spam,On ma way to school. Can you pls send me ashley's number,,,
not spam,It shall be fine. I have avalarr now. Will hollalater,,,
not spam,She went to attend another two rounds today..but still did't reach home..,,,
not spam,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,,,
not spam,"K, wait chikku..il send aftr  &lt;#&gt; mins",,,
not spam,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,,,
not spam,K:)i will give my kvb acc details:),,,
not spam,Oh all have to come ah?,,,
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over ï¿½ï¿½1million to give away ! ppt150x3+normal text rate box403 w1,,,
not spam,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),,,
not spam,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,,,
not spam,So do you have samus shoulders yet,,,
not spam,What time you think you'll have it? Need to know when I should be near campus,,,
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or ï¿½ï¿½1000 CASH await collection. ppm150 SAE T&Cs Box334 SK3",,,
not spam,Then dun wear jeans lor...,,,
not spam,"Since when, which side, any fever, any vomitin.",,,
not spam,K:)k.are you in college?,,,
spam,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or ï¿½ï¿½10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm",,,
not spam,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,,,
not spam,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),,,
not spam,Theyre doing it to lots of places. Only hospitals and medical places are safe.,,,
spam,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),,,
not spam,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,,,
not spam,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",,,
not spam,I cant wait to see you! How were the photos were useful? :),,,
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,,,
not spam,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging ,,,
not spam,Chk in ur belovd ms dict,,,
not spam,Is that what time you want me to come?,,,
not spam,"Awesome, lemme know whenever you're around",,,
not spam,Shb b ok lor... Thanx...,,,
not spam,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT""",,,
not spam,Also remember to get dobby's bowl from your car,,,
spam,Filthy stories and GIRLS waiting for your,,,
not spam,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,,,
not spam,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",,,
not spam,Welp apparently he retired,,,
not spam,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,,,
not spam,Where @,,,
not spam,U sure u can't take any sick time?,,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a ï¿½ï¿½800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs ,,,
not spam,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",,,
not spam,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,,,
not spam,Are you this much buzy,,,
not spam,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,,,
not spam,I am not sure about night menu. . . I know only about noon menu,,,
not spam,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,,,
not spam,Are you willing to go for aptitude class.,,,
not spam,"It wont b until 2.15 as trying 2 sort house out, is that ok?",,,
not spam,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",,,
not spam,"Haha awesome, omw back now then",,,
not spam,Yup i thk so until e shop closes lor.,,,
not spam,what is your account number?,,,
not spam,Eh u send wrongly lar...,,,
not spam,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,,,
not spam,Ok i shall talk to him,,,
not spam,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,,,
not spam,Hey you can pay. With salary de. Only  &lt;#&gt; .,,,
not spam,Another month. I need chocolate weed and alcohol.,,,
not spam,If he started searching he will get job in few days.he have great potential and talent.,,,
not spam,Reckon need to be in town by eightish to walk from * carpark.,,,
