Num,Networth Next Year,Total assets,Net worth,Total income,Change in stock,Total expenses,Profit after tax,PBDITA,PBT,Cash profit,PBDITA as % of total income,PBT as % of total income,PAT as % of total income,Cash profit as % of total income,PAT as % of net worth,Sales,Income from financial services,Other income,Total capital,Reserves and funds,Deposits (accepted by commercial banks),Borrowings,Current liabilities & provisions,Deferred tax liability,Shareholders funds,Cumulative retained profits,Capital employed,TOL/TNW,Total term liabilities / tangible net worth,Contingent liabilities / Net worth (%),Contingent liabilities,Net fixed assets,Investments,Current assets,Net working capital,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Cash to current liabilities (times),Cash to average cost of sales per day,Creditors turnover,Debtors turnover,Finished goods turnover,WIP turnover,Raw material turnover,Shares outstanding,Equity face value,EPS,Adjusted EPS,Total liabilities,PE on BSE
771,0,13724.8,5134.2,10788.4,40.5,10436.5,392.4,1768.2,562.5,1193.8,16.39,5.21,3.64,11.07,7.95,10706.3,53.8,28.3,4157,977.2,,4261.4,2558.2,1771,5134.2,-1622.8,9395.6,2.01,1.09,13.95,716.3,10970.5,83.8,2062.5,-402.3,0.36,0.65,0.83,0.15,17.35,9.52,11.99,12.69,7.62,5.11,415696338,10,0.95,0.95,13724.8,NA
772,86.4,1043.4,71.4,36,0.4,26.6,9.8,18,15.6,11.7,50,43.33,27.22,32.5,14.78,22.1,13.1,0.7,65,6.9,,,971.1,0.4,71.4,6.4,71.4,13.5,0,0,,13.7,,1019.4,48.6,1.05,1.05,0,1.01,18196.27,22.46,6.6,5.56,6.22,6.88,635410,100,15.42,15.42,1043.4,NA
773,260.7,486.4,220.6,547.5,3.3,508,42.8,94.1,65.9,72.9,17.19,12.04,7.82,13.32,20.9,538.6,8.6,,24.6,197.9,,161.9,83.6,18.4,220.6,145.7,382.5,1.01,0.63,1.04,2.3,98.1,106.4,148.1,40.6,0.79,1.38,0.73,0.03,2.34,5.61,9.42,152.43,23.36,5.45,2458000,10,17.33,17.33,486.4,10.13
774,1299.7,2080.2,701.1,4119.4,309.5,4248.4,180.5,371.3,290.1,229.8,9.01,7.04,4.38,5.58,30.35,4077.1,0.3,41.6,103.9,894.8,,681.9,375.4,24.2,701.1,418.7,1383,1.36,0.48,25.96,182,515.3,1.7,1239.1,604.2,0.37,1.72,0.97,0.1,6.91,1009.92,39.66,6.64,7.1,14.24,10387000,10,21.03,4.21,2080.2,10.58
775,603.9,1522.9,370,1392.3,-4.6,1347.4,40.3,182.8,66.6,95.5,13.13,4.78,2.89,6.86,11.42,1383.7,7.3,1.3,60.3,317.1,,709.4,408.2,27.9,370,233.8,1079.4,2.93,1.06,14.19,52.5,298.1,38.4,1079.2,355.8,0.5,1.46,1.92,0.03,7.29,2.87,4.43,4.95,3.35,1.65,6025000,10,6.69,5.26,1522.9,8.97
776,70,131.3,63.1,209.2,5.7,210.5,4.4,16.2,4.1,9.7,7.74,1.96,2.1,4.64,7.25,208.6,0.2,0.3,43.8,21.2,,44,21.1,1.2,63.1,19.3,107.1,1.02,0.26,19.97,12.6,36.5,,66.9,17.9,0.67,1.37,0.7,0.06,5.14,7.82,7.14,11.08,9.48,43.91,4379800,10,0.98,0.98,131.3,NA
777,488.8,1137.7,522.6,1183.7,,1187.2,-3.5,103.3,-9.1,40.6,8.73,-0.77,-0.3,3.43,-0.67,1142.5,7.1,13.6,320,202.6,,256,284.2,74.9,522.6,202.6,778.6,0.98,0.42,4.25,22.2,541.2,,477.4,162.2,0.99,1.32,0.49,0.16,15.97,3.27,4.35,18.15,14.43,9.82,32000000,10,-0.57,-0.57,1137.7,NA
778,1.4,0.8,0.4,0.1,,,0.1,0.1,0.1,0.1,100,100,100,100,25,,0.1,,0.5,-0.1,,0.4,,,0.4,-0.1,0.8,1,1,0,,,,0.1,0.1,,,1,,,0,0,,,0,NA,NA,0,0,0.8,NA
779,152.9,242,106,516.5,-0.6,483.5,32.4,52.8,36.2,39.3,10.22,7.01,6.27,7.61,35.9,516.1,0.3,0.1,18,88,,84.7,51.3,,106,74.5,190.7,1.19,0.35,26.98,28.6,79.3,,115.2,16.5,0.72,1.17,0.8,0.05,3.5,8.94,7.8,142.75,142.3,6.9,180000,100,180,180,242,NA
780,242,781,187.9,1346.1,19.8,1290.1,75.8,179.4,120.4,118.9,13.33,8.94,5.63,8.83,49.45,1333.7,10,0.9,46.4,141.5,,231,319.2,42.9,187.9,141.5,418.9,2.71,0.97,38.85,73,248.1,15.2,427.1,81,0.8,1.16,1.23,0.23,25.86,6.66,7.67,49.47,37.87,9.51,4635410,10,16.03,16.03,781,NA
781,39,70.4,39,63.4,2.2,64.4,1.2,5.6,1.1,2.7,8.83,1.74,1.89,4.26,3.13,61.9,0.4,1,8.6,30.4,,17.1,13.6,0.7,39,30,56.1,0.75,0.14,1.79,0.7,45.5,0.6,17.5,-7.9,0.27,0.69,0.44,0.06,8.62,8.97,45.85,6.01,7.75,2.03,863500,10,1.39,1.39,70.4,27.34
782,238.7,233.8,214.9,200.1,7.3,188.6,18.8,28,27.1,20,13.99,13.54,9.4,10,9.15,189.6,9.4,0.4,4.2,210.7,,,18.9,,214.9,210.7,214.9,0.09,0,1.35,2.9,7,138.4,55.6,36.7,0.67,2.94,0,0.33,13.11,8.73,6.68,5.72,5.71,7.01,42000,100,430.95,430.95,233.8,NA
783,672.3,5481.7,613.5,11097.6,-488.1,10545.9,63.6,256.6,104.2,153.5,2.31,0.94,0.57,1.38,10.76,10543.4,192.1,362.1,49.3,643.1,,1204.1,3467.8,117.4,613.5,505,1817.6,7.61,1.85,5.48,33.6,821.4,25.1,4458.7,922.4,0.08,0.46,1.96,0.01,1.22,2.21,39.06,9.81,5.06,8.8,4878000,10,13.08,13.08,5481.7,2.36
784,32.2,134.4,22.4,179,25.8,197.5,7.3,16.1,11.7,11.4,8.99,6.54,4.08,6.37,38.83,178.6,,0.3,13,9.7,,55.6,51.9,1.9,22.4,7.1,78,4.67,1.58,65.63,14.7,25.1,,80.8,14.3,0.26,1.03,2.48,0.1,16.38,7.54,11.99,4.52,5.03,15.89,NA,NA,0,0,134.4,NA
785,14.8,21.4,12.9,64.5,,62.2,2.3,5,3.6,3.7,7.75,5.58,3.57,5.74,19.25,64.4,,,0.6,12.3,,2.6,5.4,0.5,12.9,12.5,15.5,0.44,0,0,,9.1,0.6,10.2,2.2,1.06,1.27,0.2,0.04,1.81,14,9.07,,,19.44,5600,100,392.86,392.86,21.4,NA
786,101.2,189.1,88.8,545.3,0.1,538.9,6.5,19.2,9.8,12.6,3.52,1.8,1.19,2.31,7.59,525.7,,0.8,30,58.8,,11.3,81.7,7.3,88.8,58.8,100.1,0.92,0.12,0,,46.4,,132.2,55.8,1.37,1.72,0.13,0.04,2.19,6.89,5.92,26.05,7.53,9.62,NA,NA,0.01,0.01,189.1,NA
787,266.3,602.7,245,1236.7,53.4,1242.8,47.3,92.2,57.2,70.3,7.46,4.63,3.82,5.68,20.65,1233.8,2.5,0.1,80,165,,180.7,168,9,245,135.3,425.7,1.35,0.04,4.41,10.8,125.5,,456.5,148.8,0.44,1.43,0.74,0,0.38,8.49,10.99,10.78,7.38,3.25,8000300,10,5.91,5.91,602.7,6.85
788,111.7,221.3,46,410.5,16.7,422.5,4.7,24.8,4.7,14.6,6.04,1.14,1.14,3.56,10.77,407.3,0.5,2.5,26,20,,105,69.3,1,46,17.5,151,3.69,0.97,13.7,6.3,51,0.2,150.9,23,0.89,1.16,2.28,0.02,2.84,6.35,4.15,22.42,9.76,19.47,2600000,10,1.73,1.73,221.3,NA
789,125.5,272.2,119.6,88.7,,83.1,5.6,10.9,6.4,6.5,12.29,7.22,6.31,7.33,4.74,79.8,,8.6,49.6,70,,65.9,85.5,1.2,119.6,30,185.5,1.24,0.55,0,,15.9,29,59.3,-18.2,0.34,0.7,0.55,0.03,11.09,8.91,5.41,,,,4960000,10,1.13,0.06,272.2,19.35
790,29,55.6,27.3,177.8,-12.3,164.2,1.3,6.8,2,2.7,3.82,1.12,0.73,1.52,4.88,177.5,0.1,0.2,2,25.3,,1.3,25.4,1.6,27.3,25.3,28.6,0.89,0.05,0,,20.2,,31.2,5.8,1.15,1.23,0.05,0.31,16.33,12.69,9.89,440.23,16.6,40.96,200200,10,6.49,6.49,55.6,NA
791,397.2,553.4,373.2,787.8,1.7,751.1,38.4,83.2,56,54.6,10.56,7.11,4.87,6.93,10.85,778.3,5.6,0.2,63.5,309.7,,38.6,141.6,,373.2,309.7,411.8,0.44,0.09,4.23,15.8,105.5,16.9,388.5,244.1,1.72,2.69,0.1,0.5,37.02,5.1,5.21,5.77,3.12,8.41,6350080,5,5.62,5.62,553.4,NA
792,7.9,35.6,2.6,33.2,0.7,39.2,-5.3,3.3,0.4,1.1,9.94,1.2,-15.96,3.31,-123.26,33.2,,,7.4,-6.3,,19.4,5.2,7.8,2.6,-6.9,22,9.23,3.85,0,,17.6,,16.1,3.2,0.38,1.23,7.46,0.02,3.59,5.35,8,8.99,6.03,4.02,NA,NA,0,0,35.6,NA
793,26.2,120.5,26.3,,,0.1,-0.1,-0.1,-0.1,-0.1,,,,,-0.38,,,,65.7,-39.4,,93.3,0.9,,26.3,-39.4,119.6,3.58,1.43,1.14,0.3,60.7,,59.8,15.8,0.99,1.06,3.55,0,0,0,0,,,0,6574950,10,-0.02,-0.02,120.5,-131.5
794,3213.7,5382.8,2902.8,3394,,3090,304,515.2,301.9,415.6,15.18,8.9,8.96,12.25,11.01,2698.8,593.9,51.4,1.6,2901.2,,1200,1280,,2902.8,2901.2,4102.8,0.66,0,0.47,13.7,424.1,1218,2891.6,495.9,0.37,0.66,0.41,0.04,11.24,2.63,6.4,11.34,11.47,3.54,NA,NA,-0.12,-0.12,5382.8,NA
795,468.3,787.5,454.2,1208.3,14.7,1211.3,11.7,78.7,27.1,72.9,6.51,2.24,0.97,6.03,2.61,1201.1,1.4,4.2,37.7,416.5,,22.5,241.2,69.6,454.2,321.5,476.7,0.44,0,8.28,37.6,384.3,,179.5,-69.4,0.14,0.72,0.05,0.11,8.36,5.57,28.77,18.81,18.54,12.91,3771289,10,3.1,3.1,787.5,48.99
796,16.9,38.3,16.8,98.5,-1.7,95.6,1.2,2,1.7,1.2,2.03,1.73,1.22,1.22,0,96.8,0.9,,0.2,16.6,,,21.5,,16.8,16.6,16.8,1.23,0,0,,1.6,,34.7,14.5,1,1.72,0,0.4,29.82,NA,NA,NA,NA,NA,NA,NA,0,0,38.3,NA
797,135.5,651.2,118.4,961.2,6.2,939.6,27.8,78,28.7,60.2,8.11,2.99,2.89,6.26,32.42,957.1,0.7,3.2,42.2,86.1,,194,262.3,34.8,118.4,44.4,312.4,3.75,1.03,52.62,62.3,307.5,1.5,269.4,-64.5,0.59,0.81,1.64,0.02,2.43,3.82,6.83,162.7,31.27,15.95,4224116,10,6.58,6.58,651.2,6.59
798,137,638.1,124,1469.9,-81.5,1377.1,11.3,28.7,18.1,13.8,1.95,1.23,0.77,0.94,9.32,1468.5,1.1,,52.9,73.1,,139.1,372.7,0.3,124,6.7,263.1,4.07,0.32,4.11,5.1,23.3,0.8,598.7,127,0.97,1.26,1.12,0.01,0.91,2.59,3.78,16.62,7.95,14.89,5547500,10,2.02,2.02,638.1,NA
799,262.7,747.3,242.3,369.1,69.5,419.1,19.5,78.2,19.5,49.4,21.19,5.28,5.28,13.38,0,341.3,23.5,3.9,3.2,239.1,,271.6,233.4,,242.3,240.7,513.9,2,0.41,1.53,3.7,228.6,87.3,210.4,-195.9,0.11,0.52,1.12,0.02,10.96,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.01,747.3,NA
800,267.2,1760.2,273.6,679.8,-30.4,676.3,-26.9,97.7,-26.9,-68.1,14.37,-3.96,-3.96,-10.02,-10.01,542.9,64.8,14.1,90.5,161.6,,919.9,526.8,39.9,273.6,61.3,1193.5,5.05,1.13,89.25,244.2,210.1,148.4,1136.4,75.5,0.92,1.05,3.36,0.01,4.95,1.13,0.49,18.83,8.97,3.53,8770000,10,-3.07,-3.07,1760.2,-17.23
801,54.3,121.3,59,9.1,-0.4,11.3,-2.6,-0.5,-2.6,-1.2,-5.49,-28.57,-28.57,-13.19,-4.33,9.1,,,56.3,5,,50.1,9.9,,59,-5.9,109.1,1.02,0.54,0.17,0.1,50.9,0.3,6.3,-20.3,0.23,0.24,0.85,0.09,82.64,0.95,2.6,23.89,25.06,0,5076610,10,-0.85,-0.85,121.3,-4.13
802,494,397.7,192.4,252.6,-43.2,188,21.4,41.9,18.2,25.3,16.59,7.21,8.47,10.02,0,252.5,,0.1,82.2,106.1,,147.5,49.1,8.7,192.4,83.2,339.9,1,0.56,20.17,38.8,189.4,15.5,151.1,63,1.26,1.72,0.77,0.09,11.76,NA,NA,NA,NA,NA,8217070,10,2.6,0.52,397.7,NA
803,154.3,223.7,132.3,283.7,4.3,268.7,19.3,40.2,31,21.7,14.17,10.93,6.8,7.65,15.74,279.4,0.4,1.6,15,117.3,,0.7,86.8,3.9,132.3,117.3,133,0.53,0.01,23.81,31.5,32.8,,172.5,90.5,1.19,2.1,0.01,0.2,22.47,3.02,3.14,10.49,7.22,2.73,1500000,10,11.47,11.47,223.7,NA
804,642.2,1322.3,544.8,1626.8,52.9,1583.5,96.2,313.3,151.8,259.9,19.26,9.33,5.91,15.98,18.98,1626.3,0.1,,60.4,484.4,,525.3,196.1,56.1,544.8,496.6,1070.1,1.23,0.63,33.83,184.3,583.4,3.1,563.3,184.4,0.63,1.49,0.96,0.03,3.14,10.98,13.76,10.41,11.12,6.7,6035200,10,23.26,11.63,1322.3,8.52
805,7540.5,16861.2,7234.1,30479.7,289.9,30481.6,288,1678.2,429,1273.7,5.51,1.41,0.94,4.18,4.03,30379.9,24.1,70.2,42.4,7191.7,,5603.6,3930.9,92.6,7234.1,7115.3,12837.7,1.18,0.48,47.83,3459.8,4192.2,762.1,9173.4,3118.9,0.73,1.52,0.77,0.06,4.57,8.84,7.65,8.3,7,12.89,4241143,10,165.36,165.36,16861.2,12.41
806,366.9,377.7,51.9,661.5,,140.4,521.1,652.9,521.1,652.9,98.7,78.78,78.78,98.7,0,,,,178.8,-126.9,,64.1,261.7,,51.9,-126.9,116,6.28,0,837.57,434.7,,3,92.4,-233.4,0,0.28,1.24,0,0,0,0,,,0,17877120,10,-7.37,-7.37,377.7,NA
807,240.3,801.9,194.8,1330.8,-22.3,1317.4,-8.9,71,-8.9,35,5.34,-0.67,-0.67,2.63,-4.51,1325.7,0.1,5,107,83.8,,387.7,219.4,,194.8,-111.7,582.5,3.05,0.82,12.11,23.6,524.8,,189.5,-220.3,0.14,0.46,1.99,0.02,2.76,7.33,25.13,19.01,11.67,6.16,10700000,10,-0.79,-0.79,801.9,NA
808,1652.3,1465,928.4,2610.7,-3.9,2237.8,369,469,439.6,414.5,17.96,16.84,14.13,15.88,49.54,2584.3,23.6,2.8,99.8,828.6,,149.1,355.2,32.3,928.4,908.2,1077.5,0.46,0.05,5.81,53.9,391,,916.8,456,1.41,1.99,0.16,0.73,57.19,5.62,10.19,9.24,9.34,8.14,9980240,10,36.97,36.97,1465,NA
809,2.9,8.1,2,9.7,,6,3.7,5.7,3.9,5.5,58.76,40.21,38.14,56.7,2466.67,3.7,,0.4,9.5,-7.5,,0.3,5.8,,2,-7.5,2.3,2.95,0.15,0,,5,,0.7,-5.1,0.12,0.12,0.15,0.1,37.76,0.64,14.8,,,0,NA,NA,0,0,8.1,NA
810,774.4,895.7,631.4,735.2,5.3,623.1,117.4,192.1,143.1,170,26.13,19.46,15.97,23.12,18.66,723.4,7.6,2.2,89.5,542.1,,87.9,125.3,50.9,631.4,541.9,719.3,0.29,0.08,27.91,176.2,318.8,,446.5,283.8,1.59,2.74,0.14,0.46,47.76,8.3,3.92,9.5,7.76,3.99,8947000,10,13.18,13.18,895.7,4.77
811,8,17.4,6.9,97.9,-1.2,95.6,1.1,1.7,1.3,1.3,1.74,1.33,1.12,1.33,0,97.7,0.2,,2.3,4.6,,5.8,4.7,,6.9,4.6,12.7,1.51,0.29,0,,0.2,,16.8,8.3,1.24,1.98,0.84,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,17.4,NA
812,215.8,536.7,189.2,523.4,-9.9,483.8,29.7,77.3,37.3,48.9,14.77,7.13,5.67,9.34,17.04,521.1,1.7,0.6,49.1,195,,212.9,46.1,33.6,204.2,155.1,417.1,1.35,0.95,0.58,1.1,344.9,1.2,68.1,20.9,0.38,1.01,1.2,0.07,3.5,31.9,26.79,23.04,20.35,6.72,3410000,10,8.71,8.71,536.7,NA
813,9.2,15.2,8.5,20.1,-0.1,19.1,0.9,2.5,1.4,1.6,12.44,6.97,4.48,7.96,10.91,20.1,,,2.4,6.1,,2.6,2.9,1.2,8.5,6.1,11.1,0.53,0.2,0,,7.6,,6.9,3.1,0.63,1.82,0.31,0.11,8.02,14.84,11.82,,97.53,2.04,24186,100,37.21,37.21,15.2,NA
814,670.4,928.5,589.4,1028.1,-41.2,959.5,27.4,165.6,39.2,122.5,16.11,3.81,2.67,11.92,0,1023.6,3.5,1,473.3,116.1,,191.2,87.8,60.1,589.4,116.1,780.6,0.41,0.18,1.99,11.7,407.3,,474.9,299.6,1.32,2.71,0.32,0.27,17.19,NA,NA,NA,NA,NA,47325531,10,0.59,0.59,928.5,NA
815,132,281.2,106.7,331.4,4.5,312.5,23.4,56.6,36.9,44.2,17.08,11.13,7.06,13.34,23.32,329.7,1.2,0.5,45.8,60.9,,70.8,74.1,29.6,106.7,60.9,177.5,1.23,0.66,43.49,46.4,182.2,,81.2,7.1,0.76,1.09,0.66,0.04,3.47,4.11,6.79,18.87,19.37,18.93,4582200,10,5.11,5.11,281.2,8.31
816,33.8,167.2,30.7,244.9,,242.2,2.7,25.4,4.6,12.8,10.37,1.88,1.1,5.23,9.2,242.3,0.5,1.2,8.4,23.8,,70.7,62.2,2.1,30.7,28.7,101.4,4.27,1.16,27.69,8.5,36.6,0.1,117.9,21.1,1.11,1.21,2.3,0.02,2.54,4.25,2.52,,,12.39,840000,10,2.14,2.14,167.2,NA
817,-14.4,1.5,1,6.6,-0.3,6.1,0.2,0.4,0.2,0.4,6.06,3.03,3.03,6.06,22.22,6.6,,,1,0,,,0.4,0.1,1,0,1,0.4,0,1520,15.2,0.1,0.1,1.3,0.9,3.25,3.25,0,0.5,11.59,5.09,7.76,58.6,49.1,16.8,NA,NA,0,0,1.5,NA
818,68.2,158.1,65.9,404.6,24.4,425.2,3.8,17.8,6.2,10.6,4.4,1.53,0.94,2.62,5.89,403,0.5,0.1,4.5,61.4,,32.6,59.3,0.3,65.9,64.8,98.5,1.29,0.18,13.66,9,51.8,,94.4,14.2,0.4,1.18,0.49,0.12,8.7,18.57,24.2,12.12,12.04,9.28,301868,10,11.59,11.59,158.1,NA
819,84.5,129.4,66.2,322,-18.2,283.3,20.5,43,31.5,36.6,13.35,9.78,6.37,11.37,37.82,320.9,0.5,0.3,52.9,13.3,,24.5,34.1,4.6,66.2,13.3,90.7,0.87,0.23,0,,35.1,,80.4,37.2,0.95,1.86,0.37,0.17,9.39,11.01,15.39,31.39,6.2,9.19,5300000,10,3.81,3.81,129.4,4.72
820,715.5,1350.7,627.8,1952.2,-7.2,1839.3,105.7,256.3,138.9,187.7,13.13,7.12,5.41,9.61,18.11,1912.9,23.4,7.3,43.2,584.6,,490.2,165.3,67.4,627.8,626.2,1118,0.96,0.57,23.48,147.4,523,148.2,484.5,189.6,0.51,1.64,0.78,0.14,8.12,97.42,18.85,32.21,20.63,4.12,4320000,10,23.94,11.97,1350.7,5.56
821,123.6,221.3,124.2,273.2,-12.9,260.3,0,8.4,0.1,1.1,3.07,0.04,0,0.4,0,271.6,0.1,0.3,10,114.2,,49.9,39.4,7.8,124.2,114.2,174.1,0.57,0.08,19.08,23.7,37.6,,73.8,8.4,0.26,1.13,0.4,0.06,5.49,10.53,7.43,12.05,9.54,6.17,100000,100,6,6,221.3,NA
822,10.7,37.2,7.9,140.5,0.1,140.1,0.5,4.2,1,2.2,2.99,0.71,0.36,1.57,0,139.5,0.1,0.3,10.8,-2,,18.8,8.6,1,7.9,-7.1,26.7,3.47,1.86,0,,12,,17.2,4.5,0.73,1.35,2.38,0.11,3.7,NA,NA,NA,NA,NA,800000,10,-0.13,-0.13,37.2,NA
823,2.2,25.5,1.6,48.4,,47.8,0.6,4,1.1,1.6,8.26,2.27,1.24,3.31,19.67,47.8,0.2,,0.5,1.1,,20.1,2.5,1.3,1.6,1.1,21.7,13.94,12.56,0,,12.8,,12.1,9.6,2.28,4.84,12.56,1.04,21.09,36.45,18.04,,,5.72,NA,NA,0,0,25.5,NA
824,157.1,247.6,140.4,1190.8,0.2,1177.5,13.5,38.7,21.7,22.5,3.25,1.82,1.13,1.89,0,1190.1,0.1,0.5,31,102.5,,74,29.5,3.2,140.4,33.4,214.4,0.65,0.11,2.21,3.1,57.7,3.2,154.4,74.7,0.8,1.93,0.53,0.19,4.72,NA,NA,NA,NA,NA,3099600,10,4.36,4.36,247.6,NA
825,106.6,182.9,102.8,230.8,1.4,217.1,15.1,30.2,24.1,15.6,13.08,10.44,6.54,6.76,15.25,223.4,0.7,1.8,43.9,58.9,,20.8,54.8,4.5,102.8,58.9,123.6,0.53,0.06,3.6,3.7,64.6,,86.5,25.5,1.14,1.41,0.2,0.03,3.38,5.22,2.96,143.17,44.64,22.31,4388261,10,3.3,3.3,182.9,11.65
826,338.5,741.8,254.8,1433.2,49.7,1382.5,100.4,212.6,180.4,114.7,14.83,12.59,7.01,8,45.22,1417.1,0.2,7.4,44,210.8,,107.4,369,10.6,254.8,163.3,362.2,1.53,0.38,5.81,14.8,122,,541.9,163.3,1.04,1.43,0.42,0.03,3.35,4.2,4.64,51.91,10.03,19.09,4400000,10,23.68,23.68,741.8,NA
827,109.4,137.6,82.9,193.2,6.6,179.8,20,26.3,22,22.7,13.61,11.39,10.35,11.75,27.45,193.1,0.1,,19.6,63.9,,15.4,38.7,,82.9,63.3,98.3,0.62,0.19,0,,16.2,,78.6,40.7,1.22,2.07,0.19,0.06,4.52,4.74,5.14,24.34,12.07,7.88,195502,100,102.81,102.81,137.6,NA
828,269.6,679.2,244.3,1194.6,14.7,1156,53.3,119.9,85.3,72.6,10.04,7.14,4.46,6.08,22.48,1188.8,1.1,0.9,85.3,159,,148.6,272.7,13.6,244.3,85,392.9,1.54,0,6.96,17,106,,514.6,128.4,0.57,1.33,0.61,0.07,8.63,6.11,6.02,20.29,13.65,4,8526583,10,5.81,5.81,679.2,NA
829,302.4,947.9,275.6,1740.5,14.3,1688.6,66.2,146.5,76.5,107.4,8.42,4.4,3.8,6.17,24.02,1659.1,68.6,11.9,104,171.6,,332.9,292,47.4,275.6,182.6,608.5,2.22,1,13.5,37.2,375.5,4.8,369.1,44.4,0.74,1.09,1.21,0.13,9.63,5.91,7.25,65.87,33.38,14.6,10837478,10,4.12,4.12,947.9,13
830,160.8,190.9,146.2,80.2,6.4,75.4,11.2,15.9,11.2,14.9,19.83,13.97,13.97,18.58,8.16,76.4,1.9,1.9,3.6,143.7,,12.8,30.8,,146.2,145.8,159,0.14,0,0,,57.5,50.8,51.7,8.6,0.86,1.2,0.09,0.57,77.41,29.16,12.42,2.61,3.71,,360000,10,31.11,31.11,190.9,NA
831,1006.4,2851.4,902.7,3260.4,2.6,3142.4,120.6,466.1,193.8,337.5,14.3,5.94,3.7,10.35,14.25,3219.6,9.1,28,7.2,895.5,,1014.4,934.3,,902.7,902.3,1917.1,1.63,0.93,6.7,60.5,916.2,29,1099.8,16.1,0.65,1.01,1.12,0.3,39.66,4.74,7.56,770.98,183.47,4.59,720000,10,162.36,162.36,2851.4,NA
832,176.1,318.6,160.1,585.4,10,579.8,15.6,37,20.4,27,6.32,3.48,2.66,4.61,10.04,584.8,0.1,,52,108.4,,115.5,41,1.7,160.1,132.8,275.6,0.88,0.44,115.49,184.9,109.8,10.8,164,78.3,1.06,1.91,0.72,0.02,0.85,19.4,8.52,69.69,30.35,6.67,5200000,10,3,3,318.6,NA
833,373.5,275.5,101.4,488.6,1.1,463.2,26.5,76.8,44,59.8,15.72,9.01,5.42,12.24,30.05,487.8,0.8,,69.8,31.6,,124.9,30.4,18.8,101.4,31.6,226.3,1.5,0.91,13.61,13.8,132,,113.4,50.6,1,1.81,1.23,0.13,6.96,13.62,9.23,78.65,64.08,7.42,NA,NA,-0.01,-0.01,275.5,NA
834,605,3401.4,486.2,3645.8,25.3,3595.5,75.6,416.9,-12.7,121.9,11.44,-0.35,2.07,3.34,17.45,3573.7,3.4,5.8,334.2,424.5,,2018.6,624.1,,758.7,299,2777.3,5.44,2.35,288.03,1400.4,983.3,120.6,1940.5,447.6,0.78,1.3,4.71,0.03,5.3,25.94,3.25,5.71,4.46,12.04,6170108,10,12.12,12.12,3401.4,5.68
835,836.8,1725.9,672.8,1387.9,-71.5,1173.9,142.5,339.1,160.4,270.8,24.43,11.56,10.27,19.51,24.1,1362.1,18.5,6.4,402.4,270.4,,855.7,109.6,87.8,672.8,270.4,1528.5,1.41,0.83,93.36,628.1,572.1,,557,156.2,0.43,1.37,1.27,0.3,40,36.21,28.03,13,8.67,2.97,40241300,10,3.53,3.53,1725.9,NA
836,2414.2,6360.8,1997.1,9010.9,-124.7,8510.9,375.3,825.9,526.2,555.2,9.17,5.84,4.16,6.16,20.56,8827,181.4,2.5,105.5,1949,,2822.4,1146.9,337,1997.1,1990,4819.5,1.96,0.66,42.9,856.8,2343,434.5,2156.7,-200.4,0.49,0.81,1.41,0,0.35,10.06,6.53,27.76,8.6,7.06,10546440,10,36.07,36.07,6360.8,NA
837,1103.5,1627.2,854.1,3115.4,167.7,3049.1,234,416.2,252.1,340.1,13.36,8.09,7.51,10.92,31.84,3078.6,15.6,2.3,1147.1,-277.6,,398.3,359.4,,854.1,-368.7,1252.4,0.81,0.45,45.11,385.3,574.9,,891.6,565.6,1.31,2.73,0.47,0.18,7.41,19.1,6.43,11.5,10.88,11.33,114666153,10,2.12,3.18,1627.2,6.07
838,-1.3,32.7,0.2,51.1,-0.3,52.2,-1.4,1.8,-2.6,0.1,3.52,-5.09,-2.74,0.2,0,51.1,,,18.1,-17.9,,28.7,2,1.8,0.2,-17.9,28.9,307,242,0,,14,,17.3,10.8,1.29,2.66,143.5,0.02,0.7,NA,NA,NA,NA,NA,NA,NA,0,0,32.7,NA
839,247,542,190,1183.5,0.6,1109.9,74.2,189.7,116.8,132.5,16.03,9.87,6.27,11.2,42.47,1178.5,2.7,1.2,157,32.7,,47.4,277.2,27.2,190,32.5,237.4,1.31,0.25,8.68,16.5,249.2,,210.7,-66.5,0.54,0.76,0.25,0.05,4.4,4.11,10.42,,83.05,14.69,15700000,10,4.68,4.68,542,NA
840,44.7,160.3,36,432.9,0.5,432.1,1.3,13.4,3.2,6.1,3.1,0.74,0.3,1.41,0,431.7,0.1,0.2,25.8,10.2,,55.6,64,4.7,36,8,91.6,3.31,0.89,0,,52.5,3,84.7,-2.7,0.47,0.97,1.54,0.03,2.24,NA,NA,NA,NA,NA,2069000,10,0.19,0.19,160.3,NA
841,379,1664.6,113.6,4685.7,-82.1,3111,1492.6,1743.9,1492.7,273.2,37.22,31.86,31.85,5.83,0,3318.7,7,16.2,282.5,-9.2,,1146,245.3,,211.2,-538.2,1357.2,11.88,10.09,248.15,281.9,1213.8,7.1,362.1,116.8,0.68,1.48,10.95,0.48,11.82,12.9,66.04,50.13,17.64,2.12,18487806,10,8.4,8.4,1664.6,6.04
